eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Mediaster aequalis,Mediaster aequalis,,,
Mediomastus ambiseta,Mediomastus ambiseta,,,
Mediomastus californiensis,Mediomastus californiensis,,,
Mediomastus capensis,Mediomastus capensis,,,
Megacrenella columbiana,Megacrenella columbiana,,,
Megalomma splendida,Megalomma splendida,,,
Megalorchestia,Megalorchestia,,,
Megalorchestia californiana,Megalorchestia californiana,,,
Megalorchestia columbiana,Megalorchestia columbiana,,,
Megalorchestia pugettensis,Megalorchestia pugettensis,,,
Megaluropus spp.,Megaluropus,,,
Megamphopus sp.,Megamphopus,,,
Megasurcula carpenteriana,Megasurcula carpenteriana,,,
Meiomenia swedmarki,Meiomenia swedmarki,,,
Melanochlamys diomedea,Melanochlamys diomedea,,,
Melibe leonina,Melibe leonina,,,
Melicertum octocostatum,Melicertum octocostatum,,,
Melinna cristata,Melinna cristata,,,
Melinna elisabethae,Melinna elisabethae,,,
Melita californica,Desdimelita californica,,,
Melita dentata,Melita dentata,,,
Melita desdichada,Melita desdichada,,,
Melita oregonensis,Melita oregonensis,,,
Melita sulca,Melita sulca,,,
Melphidippella,Melphidippella,,,
Melphissana,Melphissana,,,
Membranipora membranacea,Membranipora membranacea,,,
Merriamum oxeota,Lissodendoryx oxeota,,,should be Merriamium o.
Mertensia sp. ,Mertensia ,,,
Mesochaetopterus taylori,Mesochaetopterus taylori,,,
Mesocrangon munitella,Mesocrangon munitella,,,
Mesolamprops,Mesolamprops,,,
Mesolamprops californiensis,Mesolamprops californiensis,,,not finding much
Mesonerilla sp.,Mesonerilla,,,
Mesothuria murrayi,Mesothuria murrayi,,deep,
Metacaprella anomala,Metacaprella anomala,,,
Metacaprella kennerlyi,Metacaprella kennerlyi,,,
Metacrangon acclivis,Metacrangon acclivis,,,
Metacrangon munita,Metacrangon munita,,,
Metacrangon spinosissima,Metacrangon spinosissima,,,
Metacrangon variabilis,Metacrangon variabilis,,,
Metandrocarpa dura,Metandrocarpa dura,,,
Metandrocarpa taylori,Metandrocarpa taylori,,,
Metaphoxus frequens,Metaphoxus frequens,,,
Metaphoxus fultoni,Metaphoxus fultoni,,,
Meterythrops robusta,Meterythrops robusta,,,
Metopa cistella,Metopa cistella,,,
Metopella carinata,Metopella carinata,,,
Metridium senile,Metridium senile,,,
Metridium sp.,Metridium farcimen,,,
Caecum crebricinctum,Caecum crebricinctum,,,
Coxicerberus abbotti,Coxicerberus abbotti,,,
Microcerberus abbotti subsp. juani,Coxicerberus abbotti,,,check Koz for subsp; here removed
Clathria microjoanna,Clathria microjoanna,,,
Clathria primitiva,Clathria primitiva,,,eop has modified name
Clathria prolifera ,Clathria prolifera ,,,
Microglyphis estuarinus,Microglyphis estuarinus,,,
Microjassa litotes,Ischyrocerus litotes,,,
Microjassa spp.,Microjassa,,,
Micronereis nanaimoensis,Micronereis nanaimoensis,,,
Micropodarke dubia,Micropodarke dubia,,,
Micropora coriacea,Micropora coriacea,,,
Microporella californica,Microporella californica,,,
Microporella ciliata,Microporella ciliata,,,
Microporella setiformis,Microporella setiformis,,,
Microporella umbonata,Microporella umbonata,,,
Microporella vibraculifera,Microporella vibraculifera,,,
Microporina borealis,Microporina borealis,,,in ITIS not in WoRMS
Micrura alaskensis,Micrura alaskensis,,,
Micrura verrilli,Micrura verrilli,,,
Micrura wilsoni,Micrura wilsoni,,,
Mimulus foliatus,Mimulus foliatus,,,
Miontodiscus prolongatus,Miodontiscus prolongatus,,,misspelled in Koz
Mitella polymerus,Mitella polymerus,,,
Mitrocoma ,Mitrocoma ,,,
Earleria cellularia,Earleria cellularia,,,
Mitrocomella,Mitrocomella,,,
Mitrocomella polydiademata,Mitrocomella polydiademata,,,
Mitromorpha gracilior,Mitromorpha gracilior,,,
Modiolus modiolus,Modiolus modiolus,,,
Modiolus rectus,Modiolus rectus,,,
Mohnia frielei,Mohnia frielei,,,
Molgula cooperi,Molgula cooperi,,,
Molgula oregonia ,Molgula oregonia ,,,
Molgula pacifica,Molgula pacifica,,,
Molgula pugetiensis,Molgula pugetiensis,,,
Molpadia borealis,Molpadia borealis,,,
Molpadia granulosa,Molpadia granulosa,,,
Molpadia intermedia,Molpadia intermedia,,,
Molpadia musculus,Molpadia musculus,,,
Monobrachium parasiticum,Monobrachium parasiticum,,,
Monoculodes spinipes,Monoculodes spinipes,,,
Monoculodes zernovi,Monoculodes zernovi,,,
Monoculodes spp.,Monoculodes,,,
Monopylephorus cuticulatus,Monopylephorus cuticulatus,,,
Monopylephorus parvus,Monopylephorus parvus,,,
Monopylephorus rubroniveus,Monopylephorus rubroniveus,,,
Monstrilla canadensis,Monstrilla canadensis,,,
Monstrilla helgolandica,Monstrilla helgolandica,,,
Monstrilla longiremis,Monstrilla longiremis,,,
Monstrilla spinosa,Monstrilla spinosa,,,
Monstrilla wandelii,Monstrilla wandelii,,,
Mooreonuphis stigmatis,Mooreonuphis stigmatis,,,
Mopalia ciliata,Mopalia ciliata,,,
Mopalia cirrata,Mopalia cirrata,,,
Mopalia cithara,Mopalia cithara,,,type only
Mopalia egretta,Mopalia egretta,,,
Mopalia hindsii,Mopalia hindsii,,,
Mopalia imporcata,Mopalia imporcata,,,
Mopalia laevior,Mopalia laevior,,,
Mopalia lignosa,Mopalia lignosa,,,
Mopalia muscosa,Mopalia muscosa,,,
Mopalia phorminx,Mopalia phorminx,,,
Mopalia porifera,Mopalia porifera,,,
Mopalia sinuata,Mopalia sinuata,,,
Mopalia spectabilis,Mopalia spectabilis,,,
Mopalia swanii,Mopalia swanii,,,
Moroteuthis robusta,Moroteuthis robusta,,,
Mucronella ventricosa,Escharella ventricosa,,,
Muggiaea atlantica,Muggiaea atlantica,,,
Munida quadrispina,Munida quadrispina,,,
Munidion parvum,Munidion parvum,,,
Munidopsis quadrata,Munidopsis quadrata,,,
Munna chromatocephala,Munna chromatocephala,,,
Munna fernaldi,Munna fernaldi,,,
Uromunna ubiquita,Uromunna ubiquita,,,
Munnogonium tillerae,Munnogonium tillerae,,,
Platymera gaudichaudii,Platymera gaudichaudii,,,"eop w/ different genus; Oregon & S, one BC record"
Musculista senhousia,Musculista senhousia,,,
Musculus discors,Musculus discors,,,
Musculus niger,Musculus niger,,,
Musculus taylori,Musculus taylori,,,
Musellifer sublitoralis,Musellifer sublitoralis,,,
Mya arenaria,Mya arenaria,,,
Mya truncata,Mya truncata,,,
Mycale adhaerens,Mycale adhaerens,,,
Mycale bellabellensis,Mycale bellabellensis,,,
Mycale hispida,Mycale hispida,,,
Mycale macginitiei,Mycale macginitiei,,,
Mycale richardsoni,Mycale richardsoni,,,
Mycale toporoki,Mycale toporoki,,,
Mycalelcarmia lobata,Amphilectus lobatus,,,
Myonera tillamookensis,Myonera tillamookensis,,deep,
Myosoma spinosa,Myosoma spinosa,,,"not in WoRMS, is in IT IS, Claus Nielsen says good sp - M. s. Robertson, 1900"
Myriochele oculata,Myriochele oculata,,,
Myriotrochus bathybius,Myriotrochus bathybius,,deep,
Myriotrochus giganteus,Myriotrochus giganteus,,deep,
Myriotrochus sp.,Myriotrochus,,deep,
Myriozoum coarctatum,Myriozoum coarctatum,,,
Myriozoum subgracile,Leieschara subgracilis,,,
Myriozoum tenue,Myriozoum tenue,,,
Mysella tumida,Mysella tumida,,,
Mysidella americana,Mysidella americana,,,
Mysis litoralis,Mysis litoralis,,,
Mystides borealis,Mystides borealis,,,
Mytilicola orientalis,Mytilicola orientalis,,,
Mytilimeria nuttalli,Mytilimeria nuttalli,,,
Mytilus californianus,Mytilus californianus,,,
Mytilus edulis,Mytilus edulis,,,
Myxicola infundibulum,Myxicola infundibulum,,,
Myxilla behringensis,Myxilla behringensis,,,
Myxilla incrustans,Myxilla incrustans,,,
Myxilla lacunosa,Myxilla lacunosa,,,
Myxoderma platyacanthum,Myxoderma platyacanthum,,deep,
Myxoderma sacculatum,Myxoderma sacculatum,,deep,
Myzostomum pseudogigas,Myzostomum pseudogigas,,,
Naineris dendritica,Naineris dendritica,,,
Naineris quadricuspida,Naineris quadricuspida,,,
Naineris uncinata,Naineris uncinata,,,
Nais communis,Nais communis,,,
Nais elinguis,Nais elinguis,,,
Nais variabilis,Nais variabilis,,,
Najna spp.,Najna,,,
Nanomia cara,Nanomia cara,,,
Nassarius fossatus,Nassarius fossatus,,,
Nassarius fraterculus,Nassarius fraterculus,,,
Nassarius mendicus,Nassarius mendicus,,,
Nassarius perpinguis,Nassarius perpinguis,,,
Nassarius rhinetes,Nassarius rhinetes,,,
Cryptonatica affinis,Cryptonatica affinis,,,
Nearchaster aciculosus,Nearchaster aciculosus,,deep,
Nebalia pugettensis,Nebalia pugettensis,,,
Nectonemertes mirabilis ,Nectonemertes mirabilis ,,,
Nellobia eusoma,Nellobia eusoma,,,
Nematoplana nigrocapitula,Nematoplana nigrocapitula,,,
Nematostella vectensis,Nematostella vectensis,,,
Nemertopsis gracilis,Nemertopsis gracilis,,,
Nemocardium centifilosum,Nemocardium centifilosum,,,
Neoadmete circumcincta,Neoadmete circumcincta,,,
Neoadmete modesta,Neoadmete modesta,,,
Neoamphitrite edwardsi,Neoamphitrite edwardsi,,,
Neoamphitrite groenlandica,Neoamphitrite groenlandica,,,
Neoamphitrite robusta,Neoamphitrite robusta,,,
Neocrangon abyssorum,Neocrangon abyssorum,,,
Neocrangon communis,Neocrangon communis,,,
Neocrangon resima,Neocrangon resima,,,
Neocyamus physeteris,Neocyamus physeteris,,,
Neoesperiopsis digitata,Neoesperiopsis digitata,,,
Neoesperiopsis infundibula,Neoesperiopsis infundibula,,,
Isodictya rigida,Isodictya rigida,,,
Neoesperiopsis vancouverensis,Neoesperiopsis vancouverensis,,,
Neoleprea californica,Neoleprea californica,,,
Neoleprea japonica,Neoleprea japonica,,,
Neoleprea spiralis,Neoleprea spiralis,,,
Neomenia dalyelli,Neomenia dalyelli,,,
Neomolgus littoralis,Neomolgus littoralis,,,
Neomysis kadiakensis,Neomysis kadiakensis,,,
Neomysis mercedis,Neomysis mercedis,,,
Neomysis rayii,Neomysis rayii,,,
Neoturris breviconis,Neoturris breviconis,,,
Neoturris spp.,Neoturris,,,
Nephtys assignis,Nephtys assignis,,,
Nephtys brachycephala,Nephtys brachycephala,,,
Nephtys caeca,Nephtys caeca,,,
Nephtys caecoides,Nephtys caecoides,,,
Nephtys californiensis,Nephtys californiensis,,,
Nephtys ciliata,Nephtys ciliata,,,
Nephtys cornuta subsp. cornuta,Nephtys cornuta cornuta,,,
Nephtys cornuta subsp. franciscana,Nephtys cornuta franciscana,,,
Nephtys ferruginea,Nephtys ferruginea,,,
Nephtys longosetosa,Nephtys longosetosa,,,
Nephtys punctata,Nephtys punctata,,,
Nephtys rickettsi,Nephtys rickettsi,,,
Neptunea amianta,Neptunea amianta,,,
Neptunea humboldtiana,Neptunea humboldtiana,,,
Neptunea ithia,Neptunea ithia,,deep,
Neptunea lyrata,Neptunea lyrata,,,
Neptunea phoenicia,Neptunea phoenicia,,,
Neptunea pribiloffensis,Neptunea pribiloffensis,,,
Neptunea smirnia,Neptunea smirnia,,,
Neptunea stilesi,Neptunea stilesi,,,
Neptunea tabulata,Neptunea tabulata,,,
Alitta brandti,Alitta brandti,,,
Nereis eakini,Nereis eakini,,,
Nereis grubei,Nereis grubei,,,
Hediste limnicola,Hediste limnicola,,,
Nereis neoneanthes,Nereis neoneanthes,,,
Ceratonereis paucidentata,Ceratonereis paucidentata,,,
Nereis pelagica,Nereis pelagica,,,
Nereis procera,Nereis procera,,,
Nereis vexillosa,Nereis vexillosa,,,
Alitta virens,Alitta virens,,,
Eunereis wailesi,Eunereis wailesi,,,
Nereis zonata,Nereis zonata,,,
Nerilla antennata,Nerilla antennata,,,
Nerilla digitata,Nerilla digitata,,,
Nerilla inopinata,Nerilla inopinata,,,
Nesion arcticum,Nesion arcticum,,,
Netastoma rostrata,Netastoma rostrata,,,
Neverita lamonae,Neverita lamonae,,,
Nexilis epichitonius,Nexilis epichitonius,,,
Nicolea zostericola ,Nicolea zostericola ,,,
Nicomache lumbricalis,Nicomache lumbricalis,,,
Nicomache personata,Nicomache personata,,,
Nicon moniloceras,Nicon moniloceras,,,
Ninoe sp.,Ninoe,,,
Nipponnemertes pacificus,Nipponnemertes pacificus,,,
Nipponemertes punctatulus,Nipponnemertes punctatulus,,,
Nitidiscala caamanoi,Nitidiscala caamanoi,,,
Nitidiscala catalinae,Nitidiscala catalinae,,,
Nitidiscala catalinensis,Nitidiscala catalinensis,,,
Nitidiscala hindsii,Nitidiscala hindsii,,,
Nitidiscala indianorum,Nitidiscala indianorum,,,
Nitidiscala sawinae,Nitidiscala sawinae,,,
Nitidiscala tincta,Nitidiscala tincta,,,
Niveotectura funiculata,Niveotectura funiculata,,,
Nolella stipata,Nolella stipata,,,
Nootkadrilus compressus,Nootkadrilus compressus,,,
Nootkadrilus gracilisetosus,Nootkadrilus gracilisetosus,,,
Nootkadrilus hamatus,Nootkadrilus hamatus,,,
Nootkadrilus verutus,Nootkadrilus verutus,,,
Notholca striata,Notholca striata,,,
Nothria conchylega,Nothria conchylega,,,
Notocaryoplana arctica,Notocaryoplana arctica,,,
Notocirrus californiensis,Notocirrus californiensis,,,
Notomastus giganteus,Notomastus giganteus,,,
Notomastus lineatus,Notomastus lineatus,,,
Notomastus tenuis,Notomastus tenuis,,,
Notomastus variegatus,Notomastus variegatus,,,
Notophyllum imbricatum,Notophyllum imbricatum,,,
Notophyllum tectum,Notophyllum tectum,,,
Notoplana atomata,Notoplana atomata,,,
Notoplana celeris,Notoplana celeris,,,
Notoplana inquieta,Notoplana inquieta,,,
Notoplana inquilina,Notoplana inquilina,,,
Notoplana longastyletta,Notoplana longastyletta,,,
Notoplana natans,Notoplana natans,,,
Notoplana rupicola,Notoplana rupicola,,,
Notoplana sanguinea,Notoplana sanguinea,,,
Notoplana sanjuania,Notoplana sanjuania,,,
Notoproctus pacificus,Notoproctus pacificus,,,
Notostomum cyclostomum ,Notostomum cyclostomum ,,,
Notostomus japonicus,Notostomus japonicus,,,
Novobranchus pacificus,Novobranchus pacificus,,,
Nucella canaliculata,Nucella canaliculata,,,
Nucella emarginata,Nucella emarginata,,,
Nucella lamellosa,Nucella lamellosa,,,
Nucella lima,Nucella lima,,,
Nucula cardara,Nucula cardara,,deep,
Nucula carlottensis,Nucula carlottensis,,deep,
Nucula darella,Nucula darella,,deep,
Ennucula linki,Ennucula linki,,deep,eop different genus
Nucula tenuis,Nucula tenuis,,,
Nuculana amiata,Nuculana amiata,,,deep?  Valid?
Nuculana cellulita,Nuculana cellulita,,,
Nuculana conceptionis,Nuculana conceptionis,,,deep?  Valid?
Nuculana extenuata,Nuculana extenuata,,,deep?  Valid?
Nuculana fossa,Nuculana fossa,,,deep?  Valid?
Nuculana gmophoidea,Nuculana gomphoidea,,,deep?  Valid?
Nuculana hamata,Nuculana hamata,,,
Nuculana leonina,Nuculana leonina,,,
Nuculana liogona,Nuculana leonina,,,not valid
Nuculana lomaensis,Nuculana minuta,,,not valid
Nuculana minuta,Nuculana minuta,,,
Nuculana penderi,Nuculana penderi,,,deep?  Valid?
Nuculana pernula,Nuculana pernula,,,deep?  Valid?
Nuculana spargana,Nuculana navisa,,,syn from WoRMS; deep/not valid
Nuculana taphria,Nuculana taphria,,,deep?  Valid?
Nuculana tenuisculpta,Nuculana tenuisculpta,,,deep?  Valid?
Nuttallina californica,Nuttallina californica,,,
Nymphon,Nymphon,,,not in Koz
Nymphon grossipes,Nymphon grossipes,,,
Nymphon longitarse,Nymphon longitarse,,,
Nymphon pixellae,Nymphon pixellae,,,
Nymphon rubrum,Nymphon rubrum,,,
Nymphopsis spinosissima,Nymphopsis spinosissima,,,
Obelia,Obelia,,,
Obelia bidentata,Obelia bidentata,,,
Obelia dichotoma,Obelia dichotoma,,,
Obelia geniculata,Obelia geniculata,,,
Oceanobdella pallida,Oceanobdella pallida,,,
Ocenebra interfossa,Ocenebra interfossa,,,
Ocenebra lurida,Ocenebra lurida,,,
Ocenebra orpheus,Trophonopsis orpheus,,,
Ocenebra painei,Ocenotrophon painei,,,
Ocenebra sclera,Ocenebra sclera,,,
Ocenebra triangulata,Ocenebra triangulata,,,not in WoRMS; deep or N
Octopoteuthis deletron,Octopoteuthis deletron,,,
Enteroctopus dofleini,Enteroctopus dofleini,,,
Benthoctopus leioderma,Benthoctopus leioderma,,,
Octopus rubescens,Octopus rubescens,,,
Odius kelleri,Odius kelleri,,,
Mendicula ferruginosa,Mendicula ferruginosa,,,
Odontosyllis fulgurans subsp. japonica,Odontosyllis fulgurans japonica,,,
Odontosyllis parva,Odontosyllis parva,,,
Odontosyllis phosphorea,Odontosyllis phosphorea,,,
Odostomia ,Odostomia ,,,
Odostomia angularis,Odostomia angularis,,,
Odostomia barkleyensis,Odostomia barkleyensis,,,
Odostomia canfieldi,Odostomia canfieldi,,,
Odostomia cassandra,Odostomia cassandra,,,
Odostomia chinooki,Odostomia chinooki,,,
Odostomia columbiana,Odostomia columbiana,,,
Odostomia cypria,Odostomia cypria,,,
Odostomia engbergi,Odostomia engbergi,,,
Odostomia grippiana,Odostomia grippiana,,,
Odostomia kennerleyi,Odostomia kennerleyi,,,
Odostomia nuciformis,Odostomia nuciformis,,,
Odostomia oregonensis,Odostomia oregonensis,,,
Odostomia quadrae,Odostomia quadrae,,,
Odostomia satura,Odostomia satura,,,
Odostomia spreadboroughi,Odostomia spreadboroughi,,,
Odostomia tacomaensis,Odostomia tacomaensis,,,
Odostomia tenuisculpta,Odostomia tenuisculpta,,,
Odostomia vancouverensis,Odostomia vancouverensis,,,
Odostomia willetti,Odostomia willetti,,,
Odostomia youngi,Odostomia youngi,,,
Oedignathus inermis,Oedignathus inermis,,,
Oenopota alaskensis,Propebela alaskensis,,,
Oenopota alitakensis,Propebela alitakensis,,,
Oenopota babylonia ,Oenopota babylonia ,,,not in WoRMS
Oenopota crebricostata,Oenopota crebricostata,,,
Oenopota elegans,Oenopota elegans,,,
Oenopota excurvata,Oenopota excurvata,,,
Oenopota fidicula,Oenopota fidicula,,,
Oenopota harpa,Oenopota harpa,,,
Propebela harpularia,Propebela harpularia,,,
Oenopota krausei,Oenopota krausei,,,
Oenopota kyskana,Oenopota kyskana,,,not in WoRMS
Oenopota levidensis,Oenopota levidensis,,,
Oenopota maurellei,Oenopota maurellei,,,not in WoRMS
Oenopota pleurotomaria,Oenopota pyramidalis,,,syn in WoRMS
Oenopota popovia,Propebela popovia,,,
Oenopota pyramidalis,Oenopota pyramidalis,,,
Oenopota reticulata,Oenopota reticulata,,,
Oenopota rosea,Oenopota rosea,,,not in WoRMS
Oenopota sculpturata,Oenopota sculpturata,,,
Oenopota solida,Obesotoma solida,,,
Oenopota tabulata,Oenopota tabulata,,,
Oenopota turricula,Oenopota turricula,,,
Oenopota viridula,Oenopota viridula,,,
Oerstedia spp.,Oerstedia,,,
Oikopleura dioica,Oikopleura dioica,,,
Oikopleura labradoriensis,Oikopleura labradoriensis,,,
Oithona,Oithona,,,
Okenia vancouverensis,Okenia vancouverensis,,,
Olea hansineensis,Olea hansineensis,,,
Oligochinus,Oligochinus,,,
Oligochinus lighti,Oligochinus lighti,,,
Olivella baetica,Olivella baetica,,,
Olivella biplicata,Olivella biplicata,,,
Olivella strigata,Olivella strigata,,,
Ommastrephes barirami,Ommastrephes bartrami,,,misspelled in eop
Oncaea,Oncaea,,,
Onchidella borealis,Onchidella borealis,,,
Onchidella carpenteri,Onchidella carpenteri,,,status unclear
Onchidoris bilamellata,Onchidoris bilamellata,,,
Onchidoris muricata,Onchidoris muricata,,,
Oneirophanta mutabilis,Oneirophanta mutabilis,,deep,
Onuphis elegans,Onuphis elegans,,,
Onuphis geophiliformis,Onuphis geophiliformis,,,
Onuphis iridescens,Onuphis iridescens,,,
Onychoteuthis borealijaponica,Onychoteuthis borealijaponica,,,
Opalia borealis,Opalia borealis,,,
Opalia montereyensis,Opalia montereyensis,,,
Ophelia limacina,Ophelia limacina,,,
Ophelina acuminata,Ophelina acuminata,,,
Ophelina breviata,Ophelina breviata,,,
Ophiacantha abyssa,Ophiacantha abyssa,,deep,
Ophiacantha bathybia,Ophiacantha bathybia,,deep,
Ophiacantha rhachophora,Ophiacantha rhachophora,,deep,
Ophiacantha trachybactra,Ophiacantha trachybactra,,deep,
Ophidonais serpentina,Ophidonais serpentina,,,
Ophiodermella cancellata,Ophiodermella cancellata,,,
Ophiodermella inermis,Ophiodermella inermis,,,
Ophiodromus pugettensis,Oxydromus pugettensis,,,
Ophioleuce oxycraspedon,Ophioleuce oxycraspedon,,deep,
Ophiolimna bairdi,Ophiolimna bairdi,,deep,
Ophiomusium glabrum,Ophiomusium glabrum,,deep,
Ophiosphalma jolliense,Ophiosphalma jolliense,,deep,eop with different genus
Ophiomusium lymani,Ophiomusium lymani,,deep,
Ophiopholis aculeata,Ophiopholis aculeata,,,
Ophiopholis bakeri,Ophiopholis bakeri,,deep,
Ophiopholis longispina,Ophiopholis longispina,,deep,
Ophiophthalmus cataleimmoidus,Ophiophthalmus cataleimmoidus,,deep,
Ophiophthalmus diplasia,Ophiophthalmus diplasia,,deep,
Ophiophthalmus eurypoma,Ophiophthalmus eurypoma,,deep,
Ophiophthalmus normani,Ophiophthalmus normani,,deep,
Ophiopteris papillosa,Ophiopteris papillosa,,deep,
Ophioscolex corynetes,Ophioscolex corynetes,,deep,
Ophiura bathybia,Ophiura bathybia,,deep,
Ophiura cryptolepis,Ophiura cryptolepis,,deep,misspelled in Koz
Ophiura flagellata,Ophiura flagellata,,deep,
Ophiura ambigua,Ophiura ambigua,,deep,different sp in eop - check!
Ophiura leptoctenia,Ophiura leptoctenia,,,
Ophiura lutkeni,Ophiura lutkeni,,,
Ophiura sarsii,Ophiura sarsii,,deep,
Ophlitaspongia pennata,Ophlitaspongia pennata,,,
Ophryotrocha vivipara,Ophryotrocha vivipara,,,
Opisa tridentata,Opisa tridentata,,,
Opisthoteuthis californiana,Opisthoteuthis californiana,,,
Oradarea longimana,Oradarea longimana,,,
Orbiniella nuda,Orbiniella nuda,,,
Orchomene decipiens,Orchomenella decipiens,,,
Orchomene obtusa,Orchomene obtusa,,,
Orchomene pacifica,Orchomenella pacifica,,,
Orchomene pinguis,Orchomene pinguis,,,
Orchomene sp.,Orchomene,,,
Oregonia bifurca,Oregonia bifurca,,,
Oregonia gracilis,Oregonia gracilis,,,
Oregoniplana opisthopora,Oregoniplana opisthopora,,,
Orina sp.,Orina,,,
Oriopsis gracilis,Oriopsis gracilis,,,
Oriopsis minuta,Oriopsis minuta,,,
Orthasterias koehleri,Orthasterias koehleri,,,
Orthopagurus minimus,Orthopagurus minimus,,,
Orthoplana kohni,Orthoplana kohni,,,
Orthopyxis spp.,Orthopyxis,,,
Ostrea lurida,Ostrea lurida,,,
Ostreobdella papillata,Ostreobdella papillata,,,
Otocelis luteola,Otocelis luteola,,,
Otopsis longipes,Otopsis longipes,,,
Ototyphlonemertes americana,Ototyphlonemertes americana,,,
Owenia fusiformis delle,Owenia fusiformis delle,,,
Oxyurostylis,Oxyurostylis,,,
Pachycerianthus fimbriatus,Pachycerianthus fimbriatus,,,
Pachychalina spp.,Pachychalina,,,
Pachycheles pubescens,Pachycheles pubescens,,,
Pachycheles rudis,Pachycheles rudis,,,
Pachygrapsus crassipes,Pachygrapsus crassipes,,,
Pachynus barnardi,Pachynus barnardi,,,
Pacifacanthomysis nephrophthalma,Pacifacanthomysis nephrophthalma,,,
Pacifides psammophilus,Pacifides psammophilus,,,
Paciforchestia,Paciforchestia,,,
Paciforchestia klawei,Paciforchestia klawei,,,
Paelopatides sp.,Paelopatides,,deep,
Paguristes turgidus,Paguristes turgidus,,,
Paguristes ulreyi,Paguristes ulreyi,,,
Pagurus aleuticus,Pagurus aleuticus,,,
Pagurus armatus,Pagurus armatus,,,
Pagurus beringanus,Pagurus beringanus,,,
Pagurus capillatus,Pagurus capillatus,,,
Pagurus caurinus,Pagurus caurinus,,,
Pagurus confragosus,Pagurus confragosus,,,
Pagurus cornutus,Pagurus cornutus,,,
Pagurus dalli,Pagurus dalli,,,
Pagurus granosimanus,Pagurus granosimanus,,,
Pagurus hemphilli,Pagurus hemphilli,,,
Pagurus hirsutiusculus,Pagurus hirsutiusculus,,,
Pagurus kennerlyi,Pagurus kennerlyi,,,
Pagurus ochotensis,Pagurus ochotensis,,,
Pagurus quaylei,Pagurus quaylei,,,
Pagurus samuelis,Pagurus samuelis,,,
Pagurus setosus,Pagurus setosus,,,
Pagurus stevensae,Pagurus stevensae,,,
Pagurus tanneri,Pagurus tanneri,,,
Paleanotus bellis,Paleanotus bellis,,,
Palio zosterae,Palio zosterae,,,
Pancolus californiensis,Pancolus californiensis,,,
Pandalopsis ampla,Pandalopsis ampla,,,
Pandalopsis dispar,Pandalopsis dispar,,,
Pandalus borealis,Pandalus borealis,,,
Pandalus danae,Pandalus danae,,,
Pandalus goniurus,Pandalus goniurus,,,
Pandalus gurneyi,Pandalus gurneyi,,,
Pandalus hypsinotus,Pandalus hypsinotus,,,
Pandalus jordani,Pandalus jordani,,,
Pandalus platyceros,Pandalus platyceros,,,
Pandalus stenolepis,Pandalus stenolepis,,,
Pandalus tridens,Pandalus tridens,,,
Pandea rubra,Pandea rubra,,,
Pandora bilirata,Pandora bilirata,,,
Pandora filosa,Pandora filosa,,,
Pandora glacialis,Pandora glacialis,,,
Pandora punctata,Pandora punctata,,,
Pandora wardiana,Pandora wardiana,,,
Pannychia moseleyi ,Pannychia moseleyi ,,deep,
Panomya ,Panomya ,,,
Panomya beringiana,Panomya beringiana,,,
Panomya chrysis,Panomya chrysis,,,
Panopea abrupta,Panopea abrupta,,,
Pantachogon sp.,Pantachogon,,,
Prosadenoporus californiensis,Prosadenoporus californiensis,,,
Paracalliopiella pratti,Paracalliopiella pratti,,,
Paracaudina chilensis ,Paracaudina chilensis ,,,
Paracrangon echinata,Paracrangon echinata,,,
Paractinostola faeculenta,Paractinostola faeculenta,,deep,"""deep subtidal, Oregon southward"""
Paracyathus stearnsi,Paracyathus stearnsi,,,
Paradexiospira vitrea,Paradexiospira vitrea,,,
Paradoxostoma cuneata,Paradoxostoma cuneata,,,
Paradoxostoma fraseri,Paradoxostoma fraseri,,,
Paradoxostoma striungulum,Paradoxostoma striungulum,,,
Paradulichia typica,Paradulichia typica,,,
Paragorgia arborea,Paragorgia arborea,,,
Paralaeospira malardi,Paralaeospira malardi,,,
Paralithodes camtschaticus,Paralithodes camtschaticus,,,
Parallorchestes spp.,Parallorchestes,,,
Paralomis multispina,Paralomis multispina,,,
Paralomis verrilli,Paralomis verrilli,,,
Paramoera bousfieldi,Paramoera bousfieldi,,,
Paramoera bucki,Paramoera bucki,,,
Paramoera carlottensis,Paramoera carlottensis,,,
Paramoera columbiana,Paramoera columbiana,,,
Paramoera leucophthalma,Paramoera leucophthalma,,,
Paramoera mohri,Paramoera mohri,,,
Paramoera serrata,Paramoera serrata,,,
Paramoera suchaneki,Paramoera suchaneki,,,
Paranais frici,Paranais frici,,,
Paranais litoralis,Paranais litoralis,,,
Paranemertes peregrina,Paranemertes peregrina,,,
Paranemertes sanjuanensis,Paranemertes sanjuanensis,,,
Paraonella platybranchia,Paraonides platybranchia,,,
Paraonella spinifera,Paradoneis spinifera,,,
Parapagurus benedicti,Parapagurus benedicti,,deep,
Parapasiphae sulcatifrons,Parapasiphae sulcatifrons,,,
Paraphoxus oculatus,Paraphoxus oculatus,,,
Parapleustes den,Gnathopleustes den,,,
Parapleustes nautilus,Parapleustes nautilus,,,
Parapleustes oculatus,Chromopleustes oculatus,,,
Parapleustes pugettensis,Gnathopleustes pugettensis,,,
Paraprionospio pinnata,Paraprionospio pinnata,,,
Parasmittina collifera,Parasmittina collifera,,,
